K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,16384,4.307,0.000,0.326,0.000,4.633
26,16384,8.910,0.000,0.612,0.000,9.522
27,16384,18.533,0.000,0.214,0.000,18.746
28,16384,39.767,0.000,0.682,0.000,40.449
29,16384,81.647,0.000,0.439,0.000,82.086
30,16384,75.597,137.366,0.796,0.000,213.760
31,16384,148.824,276.902,0.803,0.000,426.529
32,16384,292.650,557.408,0.738,0.000,850.795
33,16384,600.519,1119.205,0.748,0.000,1720.471
34,16384,1281.377,2287.672,0.735,0.000,3569.784
35,16384,2843.969,5252.874,0.737,0.000,8097.580
